,user_id,reading_session,article_id,scroll_range,max_offset,ratio,displayedWords,reading_duration,numberOfWords,numOfScroll,freScroll,reading_speed,label
238,250.0,608ae910-d7a0-4d8f-8d32-1e6e0ba04688,36719561.0,7998.0,557.0,0.0696,185.7624,37.0,2669,59.0,1.594594595,301.23632430000004,2
481,357.0,779166b0-c142-4ac6-b0e2-74adc7b3c9c6,40592450.0,2175.0,507.0,0.2331,263.6361,9.0,1131,40.0,4.444444444,1757.5739999999998,2
480,356.0,f61a3bda-822d-41d1-ba70-368cca418dc5,40051032.0,2409.0,585.0,0.2428,310.5412,17.0,1279,20.0,1.176470588,1096.027765,2
479,356.0,d1b377c9-8172-4bc6-9102-0b4ff53ee1e1,40652803.0,4077.0,2253.0,0.5526,951.5772,34.0,1722,82.0,2.411764706,1679.253882,2
476,356.0,bdebfad9-d621-4c91-9eab-1b0284e876c5,40673053.0,2751.0,783.0,0.2846,375.67199999999997,7.0,1320,43.0,6.142857143,3220.045714,2
475,356.0,afa8f904-bfa9-40bb-8c0a-d26c75d5caa7,40609989.0,2265.0,441.0,0.1947,225.6573,85.0,1159,20.0,0.235294118,159.2875059,2
474,356.0,87ccb1cb-2cd2-4538-9b5d-e417c83b6c64,40669333.0,2655.0,831.0,0.313,403.144,39.0,1288,34.0,0.871794872,620.2215385,2
249,250.0,8ce51d10-7fa5-452f-88eb-02618369e008,36702468.0,3531.0,1866.0,0.5285,1048.5439999999999,397.0,1984,1.0,0.002518892,158.4701259,2
473,356.0,8681e5c0-d575-4397-87f4-1a4558829985,40598351.0,2689.0,933.0,0.34700000000000003,445.20099999999996,23.0,1283,63.0,2.739130435,1161.393913,2
470,356.0,57425a68-c99b-4a0d-ac2e-8c67f4e83616,40622623.0,3291.0,668.0,0.203,264.915,15.0,1305,36.0,2.4,1059.66,2
252,250.0,aa948803-9b2d-4563-a782-8061470e3403,36698055.0,2940.0,1275.0,0.4337,742.9281,88.0,1713,38.0,0.43181818200000005,506.5418864,2
469,356.0,57425a68-c99b-4a0d-ac2e-8c67f4e83616,40622173.0,2028.0,204.0,0.1006,106.63600000000001,14.0,1060,7.0,0.5,457.01142860000004,2
501,379.0,ca0ccb3f-a820-44dc-bde0-da8205f4c21d,41807702.0,2545.0,1098.0,0.4314,685.926,26.0,1590,134.0,5.153846154,1582.906154,2
